municipality,community_type,governing_body,deadline_year,meeting_body,meeting_date,article_number,outcome,is_terminal,vote_yes,vote_no,vote_abstain,threshold_required,threshold_met,motion_snippet,doc_url,doc_page,evidence_quote
Acton,commuter rail,Select Board,2024,select_board,,12,recommended,False,-1,-1,0,majority,True,Select Board recommendation on Article 12 – Amend Zoning Bylaw and Zoning Map – MBTA Overlay District (Majority vote),https://acton-ma.gov/warrant,55,Recommendations: Select Board Recommended / Finance Committee Deferred / Planning Board Recommended
Acton,commuter rail,Select Board,2024,planning_board,,12,recommended,False,-1,-1,0,,True,Planning Board recommendation on Article 12 – Amend Zoning Bylaw and Zoning Map – MBTA Overlay District,https://acton-ma.gov/warrant,55,Recommendations: Select Board Recommended / Finance Committee Deferred / Planning Board Recommended
Berkley,MBTA adjacent,Select Board,2024,town_meeting,2025-11-15,4,rejected,False,-1,-1,0,majority,False,Motion to postpone Article 4 (Residential Development Overlay District / MBTA 3A compliance bylaw) for further investigation,https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,5,"No further discussion on the motion to vote to postpone Article 4, motion to postpone Article 4 was denied."
Berkley,MBTA adjacent,Select Board,2024,planning_board,2025-11-12,4,recommended,False,-1,-1,0,,True,Planning Board recommendation on Article 4 (Residential Development Overlay District / MBTA 3A compliance bylaw),https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,5,Planning Board: Recommends passage of Article 4
Berkley,MBTA adjacent,Select Board,2024,town_meeting,2025-11-15,4,adopted,True,-1,-1,0,majority,True,"Adopt new Section 9.3 Residential Development Overlay District (RDOD) to Berkley Zoning By-Law and Zoning Map to comply with MBTA Communities Law (M.G.L. c.40A, §3A)",https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,6,Motion carried unanimously.
Berkley,MBTA adjacent,Select Board,2024,planning_board,2025-11-12,5,recommended,False,4,0,0,,True,Planning Board recommendation on Article 5 (special permit uses within RDOD for mixed-use development),https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,8,"M. Oliveira Chairman of the Planning Board stated at a Planning Board public Hearing on Nov. 12, 2025, by a unanimous vote the Planning Board voted 4-0 to recommend this Article to pass."
Berkley,MBTA adjacent,Select Board,2024,town_meeting,2025-11-15,5,adopted,True,-1,-1,0,2/3,True,"Adopt new Subsection 9.3.5.2(c) to allow special permit uses (bar/tavern, entertainment, medical/dental office, veterinary) within the RDOD for mixed-use development",https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,8,"Approval of this article requires a two-thirds vote. ... No further discussion, Motion carried unanimously."
Beverly,bus,City Council,2025,city_council,2024-11-12,,adopted,True,-1,-1,0,,True,Beverly City Council adoption of zoning changes for MBTA Communities Act compliance,https://beverlyma.gov/1105/MBTA-Communities-Multifamily-Zoning,1,"The Beverly City Council adopted the Zoning changes associated with compliance with the MBTA Communities Act on November 12, 2024. Subsequently, the Planning Department submitted the compliance application to the state by December 31, 2024, as required. Beverly's Section 3A Zoning Compliance was confirmed in April 2025."
Boxford,MBTA adjacent,Select Board,2024,select_board,2025-09-22,,adopted,False,-1,-1,-1,majority,True,Select Board votes to submit proposed Willows zoning district to EOHLC for pre-application approval,https://ma-boxford.civicplus.com/542/MBTA-Communities-Law,1,"September 22, 2025 – Select Board votes to submit the proposed Willows zoning district to EOHLC for pre-application approval"
Boxford,MBTA adjacent,Select Board,2024,select_board,2025-10-06,,referred,False,-1,-1,-1,majority,True,Select Board votes to refer proposed MBTA Communities (3A) compliant Willows overlay district to Planning Board for public hearing,https://ma-boxford.civicplus.com/542/MBTA-Communities-Law,1,"At its October 6, 2025 meeting, the Boxford Select Board voted to refer a proposed MBTA Communities (3A) compliant overlay zoning district at the Willows at Boxford to the Planning Board for a public hearing."
