municipality,year,election_type,url,title
Ashfield,2021,municipal,https://ashfield.org/DocumentCenter/View/7137/Local-Election-20210605-Results,
Belmont,2021,municipal,https://www.belmont-ma.gov/DocumentCenter/View/1523/April-6-2021-Local-Election-Results-Official-PDF,
Berkley,2021,municipal,https://townofberkleyma.gov/wp-content/uploads/2025/09/May-8-2021-Town-Election-Results.pdf,
Berkley,2022,election_unspecified,https://townofberkleyma.gov/wp-content/uploads/2025/09/March-5-2022-Special-District-Election-Results.pdf,
Berkley,2024,municipal,https://townofberkleyma.gov/wp-content/uploads/2024/12/2023-Annual-Town-Election-Official-Results.pdf,
Boxford,2021,municipal,https://boxfordlibrary.org/DocumentCenter/View/800/Preliminary-Unofficial-Results-Boxford-June-29-2021-Annual-Town-Election-Page-1-JPG,Preliminary Unofficial Results Boxford June 29 2021 Annual Town Electi
Boylston,2024,municipal,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2024_town_election_official_results.pdf,
Chatham,2022,election_unspecified,https://chatham-ma.gov/DocumentCenter/View/4436/2022-ATM-Scorecard-Unofficial-Results-PDF,
Dracut,2022,municipal,https://www.dracutma.gov/DocumentCenter/View/472/Town-Election-2022-Official-Results-PDF,
Easton,2021,election_unspecified,https://eastontownma.documents-on-demand.com/Document/22fc829f-3ea5-eb11-a335-000c29a59557/2021.04.24%20Unofficial%20Results.pdf,
Easton,2022,election_unspecified,https://eastontownma.documents-on-demand.com/Document/4e450b5a-45c3-ec11-a374-000c29a59557/2022.04.22%20Unofficial%20Results.pdf,
Holland,2024,state_federal,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/news/official_presidential_election_results_11.5.2024.pdf,
Hubbardston,2022,election_unspecified,https://www.hubbardstonma.gov/DocumentCenter/View/158/Solicitors---Canvassers-License-Application-2022-PDF,Solicitors - Canvassers License Application 2022 (PDF)
Hubbardston,2024,state_federal,https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/news/unofficial_results_03052024_0.pdf,
Hubbardston,2025,municipal,https://www.hubbardstonma.gov/DocumentCenter/View/1130,"Official Election Results - June 17, 2025 Annual Town Election"
Hudson,2024,municipal,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/may_13_2024_annual_town_election_unofficial_results.pdf,
Ipswich,2024,municipal,https://ipswichma.gov/DocumentCenter/View/16799/2024-05-21-Town-Election-Results---DRAFT,
Leominster,2023,election_unspecified,https://leominster-ma.gov/DocumentCenter/View/2029,Main Street Sidewalk Improvements 2023_bid results?bidId=
Littleton,2024,election_unspecified,https://littletonma.org/DocumentCenter/View/8040/Democratic-Results-September-3-2024,Democratic Results September 3 2024
Lynnfield,2021,election_unspecified,https://www.lynnfieldma.gov/DocumentCenter/View/2497/April-13-2021-Election-Official-Results-PDF,
Lynnfield,2022,election_unspecified,https://www.lynnfieldma.gov/DocumentCenter/View/776/-April-12-2022-Election-Results-PDF,
Lynnfield,2024,municipal,https://www.lynnfieldma.gov/DocumentCenter/View/783/April-9-2024-Town-Election-Official-Results-PDF,
Mansfield,2024,state_federal,https://www.mansfieldma.com/DocumentCenter/View/9089/Official-Results-Presidential-Primary-Election-362024-PDF,
Marblehead,2025,municipal,https://marbleheadma.gov/wp-content/uploads/2025/03/2018_town_election_results_-_may_15_2018master_3.pdf,
Mashpee,2024,state_federal,https://www.mashpeema.gov/sites/g/files/vyhlif3426/f/uploads/11-05-2024_presidential_elec_unofficial_results.pdf,
Medway,2021,election_unspecified,https://storage.googleapis.com/juniper-media-library/117/2024/10/ate_05.18.21.pdf,"The May 18, 2021, Official Election Results can be found here."
Merrimac,2023,municipal,https://townofmerrimac.com/DocumentCenter/View/2633/Preliminary-Results-Local-Election-512023,
Middlefield,2023,municipal,https://www.middlefield-ma.gov/DocumentCenter/View/390,Town Election Results 2023 05 06?bidId=
Nahant,2022,municipal,https://nahant.org/wp-content/uploads/2022/12/ATE-OFFICIAL-RESULTS-2025-1.pdf,
Nantucket,2021,election_unspecified,https://nantucket-ma.gov/DocumentCenter/View/39796/2021-0629-Fact-Sheet-for-WON-Testing-Results-fin-PDF,here
Newbury,2021,election_unspecified,https://www.townofnewbury.org/sites/g/files/vyhlif951/f/pages/ate_results_5.11.2021_0.pdf,
Norton,2021,election_unspecified,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/2021_massbioed_biomanufacturing_technician_apprenticeship_results.pdf,
Norton,2024,state_federal,https://www.nortonma.org/sites/g/files/vyhlif3606/f/uploads/official_results_-_sept_3_2024_-_state_primary_-rev_3.pdf,
Orange,2022,municipal,https://www.townoforange.org/sites/g/files/vyhlif1036/f/uploads/2022-03-07_town_election_results_1.pdf,
Otis,2023,municipal,https://www.townofotisma.com/Documents/Boards%20Commissions/Elections%20Board%20of%20Registrars/Annual-Town-Election-Results-05-23-2023.pdf,
Paxton,2022,election_unspecified,http://www.townofpaxton.net/sites/g/files/vyhlif4846/f/pages/5.9.2022_ate_official_results.pdf,
Pelham,2021,municipal,https://pelhamma.gov/files/2021_Annual_Town_Election_Election_Results.pdf,
Pelham,2022,municipal,https://pelhamma.gov/files/2022_Annual_Town_Election_Results.pdf,
Pelham,2023,municipal,https://pelhamma.gov/files/2023_Annual_Town_Election_Results_Unofficial.pdf,
Pelham,2024,municipal,https://pelhamma.gov/files/2024_Annual_Town__Election_Unofficial_Results.pdf,
Pelham,2025,election_unspecified,https://pelhamma.gov/files/2025_ATE_Official_Results.pdf,
Pembroke,2025,state_federal,https://ma-pembroke.civicplus.com/DocumentCenter/View/661/May-17-2025-Local-Election-Results-PDF,"May 17, 2025 Local Election Results (PDF)"
Petersham,2024,state_federal,https://townofpetersham.gov/wp-content/uploads/2025/12/presidential_final_results-2024.pdf,"November 5, 2024 Presidential Election"
Petersham,2025,municipal,https://townofpetersham.gov/wp-content/uploads/2025/12/result_2017-03-06_2.pdf,"Annual Town Election Results - March 06, 2017"
Plainfield,2021,state_federal,https://plainfield-ma.us/files/2021_Election_Results.pdf,
Plainfield,2022,state_federal,https://plainfield-ma.us/files/RESULTS_OF_THE_NOVEMBER_8_2022_Midterm.pdf,
Plainville,2021,state_federal,https://www.plainville.ma.us/sites/g/files/vyhlif4871/f/pages/tally_results_4-5-2021ate.pdf,
Plainville,2023,state_federal,https://www.plainville.ma.us/DocumentCenter/View/892,Annual Town Election April 3 2023 Unofficial Results?bidId=
