municipality,year,type,url,title
Abington,2021,election,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/pfas_table_results_table_q1-q4_2021.pdf,
Ashfield,2021,election,https://ashfield.org/DocumentCenter/View/6983/2021-Ashfield-Town-Caucus-Results,
Belmont,2021,municipal,https://www.belmont-ma.gov/DocumentCenter/View/1523/April-6-2021-Local-Election-Results-Official-PDF,
Berkley,2022,state/fed,https://www.townofberkleyma.com/sites/g/files/vyhlif2806/f/alerts/state_election_official_results_11-8-2022.pdf,
Berkley,2024,municipal,https://townofberkleyma.gov/wp-content/uploads/2024/12/2023-Annual-Town-Election-Official-Results.pdf,
Berkley,2021,election,https://townofberkleyma.gov/wp-content/uploads/2025/09/December-11-2021-Special-Election-Results.pdf,
Boxford,2021,municipal,https://www.boxfordlibrary.org/DocumentCenter/View/797/Results---Annual-Town-Meeting-June-26-2021-PDF,
Boylston,2024,municipal,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2024_town_election_official_results.pdf,
Chatham,2022,election,https://chatham-ma.gov/DocumentCenter/View/4436/2022-ATM-Scorecard-Unofficial-Results-PDF,
Douglas,2025,election,https://douglas-ma.gov/DocumentCenter/View/4590/Douglas-Master-Plan-Survey-Results-Oct-5-2024---Jan-31-2025,Douglas Master Plan Survey Results Oct 5 2024 - Jan 31 2025
Dracut,2022,municipal,https://www.dracutma.gov/DocumentCenter/View/472/Town-Election-2022-Official-Results-PDF,
East Bridgewater,2022,election,https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/news/dem_officail_results_9-06-2022.pdf,
Easton,2021,election,https://eastontownma.documents-on-demand.com/Document/22fc829f-3ea5-eb11-a335-000c29a59557/2021.04.24%20Unofficial%20Results.pdf,
Easton,2022,election,https://eastontownma.documents-on-demand.com/Document/4e450b5a-45c3-ec11-a374-000c29a59557/2022.04.22%20Unofficial%20Results.pdf,
Gill,2024,election,https://gillmass.org/files/2024-1001_Gill_School_lead_copper_LCR_results.pdf,
Holland,2024,state/fed,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/news/official_presidential_election_results_11.5.2024.pdf,
Hubbardston,2022,election,https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/news/2022_unofficial_election_results.pdf,
Hubbardston,2024,election,https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/news/unofficial_results_03052024_0.pdf,
Hubbardston,2025,municipal,https://www.hubbardstonma.gov/DocumentCenter/View/1130,"Official Election Results - June 17, 2025 Annual Town Election"
Hudson,2024,municipal,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/may_13_2024_annual_town_election_unofficial_results.pdf,
Ipswich,2024,election,https://ipswichma.gov/DocumentCenter/View/16516/2024-01-23-Special-District-Election-Draft-Results,
Littleton,2024,state/fed,https://www.littletonma.org/DocumentCenter/View/8638/PRELIMINARY-RESULTS-11-5-2024-STATE-ELECTIONpdf,
Lynnfield,2021,election,https://www.lynnfieldma.gov/DocumentCenter/View/2497/April-13-2021-Election-Official-Results-PDF,
Lynnfield,2024,state/fed,https://www.lynnfieldma.gov/DocumentCenter/View/730/November-5-2024-Lynnfield-State-Election-Official-Results-PDF,
Lynnfield,2022,election,https://www.lynnfieldma.gov/DocumentCenter/View/776/-April-12-2022-Election-Results-PDF,
Mansfield,2024,state/fed,https://www.mansfieldma.com/DocumentCenter/View/9089/Official-Results-Presidential-Primary-Election-362024-PDF,
Marblehead,2025,election,https://www.marbleheadma.gov/sites/g/files/vyhlif4661/f/news/july_8_2025_unofficial_results.pdf,
Mashpee,2024,state/fed,https://www.mashpeema.gov/sites/g/files/vyhlif3426/f/uploads/11-05-2024_presidential_elec_unofficial_results.pdf,
Medway,2021,election,https://storage.googleapis.com/juniper-media-library/117/2024/10/ate_05.18.21.pdf,"The May 18, 2021, Official Election Results can be found here."
Merrimac,2023,municipal,https://townofmerrimac.com/DocumentCenter/View/2633/Preliminary-Results-Local-Election-512023,
Nahant,2022,state/fed,https://nahant.org/wp-content/uploads/2022/08/2022-State-Election-Unofficial-Results.pdf,
Nantucket,2025,election,https://www.miaa.net/sites/default/files/2025-02/d2-girls-final-results.pdf,view the full results here
Nantucket,2021,election,https://nantucket-ma.gov/DocumentCenter/View/40306/Nantucket-Module-Testing-Results---August-24-2021-PDF,"Maximum Contaminant Level thresholds, including both PFAs and Gen-x ma"
Newbury,2021,election,https://www.townofnewbury.org/sites/g/files/vyhlif951/f/pages/ate_results_5.11.2021_0.pdf,
Norton,2021,election,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/2021_massbioed_biomanufacturing_technician_apprenticeship_results.pdf,
Norton,2024,state/fed,https://www.nortonma.org/sites/g/files/vyhlif3606/f/uploads/official_results_-_sept_3_2024_-_state_primary_-rev_3.pdf,
Orange,2022,municipal,https://www.townoforange.org/sites/g/files/vyhlif1036/f/uploads/2022-03-07_town_election_results_1.pdf,
Otis,2023,municipal,https://www.townofotisma.com/Documents/Boards%20Commissions/Elections%20Board%20of%20Registrars/Annual-Town-Election-Results-05-23-2023.pdf,
Paxton,2022,election,http://www.townofpaxton.net/sites/g/files/vyhlif4846/f/pages/5.9.2022_ate_official_results.pdf,
Pembroke,2025,municipal,https://ma-pembroke.civicplus.com/DocumentCenter/View/661/May-17-2025-Local-Election-Results-PDF,"May 17, 2025 Local Election Results (PDF)"
Plainfield,2021,election,https://plainfield-ma.us/files/2021_Election_Results.pdf,
Plainfield,2022,election,https://plainfield-ma.us/files/RESULTS_OF_THE_NOVEMBER_8_2022_Midterm.pdf,
Plainville,2021,election,https://www.plainville.ma.us/sites/g/files/vyhlif4871/f/pages/tally_results_4-5-2021ate.pdf,
Saugus,2022,state/fed,https://www.saugus-ma.gov/sites/g/files/vyhlif1181/f/uploads/official_results_november_8_2022_state_election.pdf,
Stoughton,2021,municipal,https://www.stoughton.org/DocumentCenter/View/507/April-6-2021---Local-Election---Draft-Results-PDF,
Sudbury,2022,election,https://cdn.sudbury.ma.us/wp-content/uploads/sites/273/2022/02/67849_CWF_Monitoring_SudburyMA_InitialResults-Dec21.pdf,
