municipality,year,civicatlas_status,native_url
Abington,2022,missing,
Abington,2023,discarded_not_results,https://959watd.com/blog/2021/04/unofficial-abington-town-election-results/
Abington,2024,missing,
Abington,2025,hosted,https://www.abingtonma.gov/article/2171924
Acushnet,2021,oversized_deferred,https://acushnet.ma.us/DocumentCenter/View/334/1959
Acushnet,2024,discarded_not_results,https://www.acushnet.ma.us/1433/Eastern-Massachusetts-ARES
Acushnet,2025,discarded_not_results,https://www.acushnet.ma.us/1192/Town-Meeting
Adams,2024,missing,
Agawam,2023,discarded_not_results,https://www.agawam.ma.us/DocumentCenter/View/2421/November-7-results?bidId=
Alford,2022,discarded_not_results,https://www.townofalford.org/node/671/news
Alford,2023,hosted,https://www.townofalford.org/home/town-clerk/news/results-annual-town-election-may-162023
Alford,2024,discarded_not_results,https://www.townofalford.org/home/town-clerk-office
Aquinnah,2021,discarded_not_results,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2021_aquinnah_annual_town_report.pdf
Aquinnah,2022,discarded_not_results,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2021_aquinnah_annual_town_report.pdf
Aquinnah,2023,hosted,https://www.aquinnah-ma.gov/home/news/aquinnah-annual-town-election-results-may-11-2023
Aquinnah,2025,discarded_not_results,https://www.aquinnah-ma.gov/home/events/15736
Ashby,2021,discarded_not_results,https://ci.ashby.ma.us/documents/town-meeting-warrants-results/
Ashby,2022,discarded_not_results,https://ci.ashby.ma.us/documents/town-meeting-warrants-results/
Ashby,2023,discarded_not_results,https://drive.google.com/file/d/1RWt37gEVKTUilnbdTwrPmC8XUiadro4P/view
Ashby,2024,hosted,https://ci.ashby.ma.us/2024/04/23/unofficial-results-annual-town-election/
Ashby,2025,discarded_not_results,https://ci.ashby.ma.us/2025/04/29/unofficial-results-annual-town-election/
Ayer,2021,missing,
Ayer,2023,hosted,https://www.ayer.ma.us/192/Election-Results
Becket,2021,discarded_not_results,https://www.townofbecket.org/administration/pages/annual-town-reports
Becket,2025,discarded_not_results,https://www.townofbecket.org/board-health
Berlin,2022,discarded_not_results,
Berlin,2023,discarded_not_results,
Bernardston,2021,discarded_not_results,https://www.townofbernardston.org/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf
Bernardston,2023,hosted,https://www.recorder.com/Assessors-seat-still-vacant-following-Bernardston-election-50846904
Bernardston,2024,discarded_not_results,https://www.townofbernardston.org/town-clerk/page/2024-election-information
Blandford,2021,missing,
Blandford,2022,discarded_not_results,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf
Blandford,2023,discarded_not_results,https://townofblandford.com/2023-annual-town-election-results/
Blandford,2025,oversized_deferred,https://townofblandford.gov/wp-content/uploads/2025/06/annual-town-report-2023-2024.pdf
Bolton,2021,discarded_not_results,https://www.townofbolton.com/sites/g/files/vyhlif2836/f/uploads/annual_report_final_web_4-27-22.pdf
Bolton,2022,hosted,https://eu.telegram.com/story/news/local/the-item/2022/05/12/election-results-winner-victorious-bolton-select-board-race/9715517002/
Bourne,2021,missing,
Bourne,2022,discarded_not_results,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/mx-m264n_20220517_200322.pdf
Bourne,2025,discarded_not_results,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/news/unofficial_election_results_with_write-ins_-_may_20_2025_1.pdf
Boylston,2021,oversized_deferred,https://cms3.revize.com/revize/boylstonma/Documents/Services/Treasurer%20Collector/Documents%20&%20Forms/Boylston%20financials%2021.pdf
Boylston,2025,discarded_not_results,https://www.boylston-ma.gov/services/clerk/elections_voting/index.php
Brewster,2023,discarded_not_results,https://www.brewster-ma.gov/sites/g/files/vyhlif6286/f/uploads/unofficial_town_election_results.pdf
Brewster,2025,discarded_not_results,https://www.brewster-ma.gov/home/files/atm-may-5-2025-results
Brimfield,2021,missing,
Brimfield,2024,missing,
Brimfield,2025,discarded_not_results,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/results_by_question_9.23.25.xlsx
Brookfield,2021,discarded_not_results,https://www.brookfieldma.us/home/news/annual-town-election-results-report%C2%A0
Brookfield,2022,discarded_not_results,https://www.brookfieldma.us/water-department/pages/annual-drinking-water-quality-reports
Brookfield,2023,missing,
Brookfield,2024,missing,
Brookfield,2025,discarded_not_results,https://www.brookfieldma.us/home/news/annual-town-election-results-report%C2%A0
Cambridge,2025,hosted,https://www.cambridgema.gov/Departments/electioncommission/news/2025/11/2025municipalelectionofficialresultsnovember14thupdate
Carver,2021,discarded_not_results,https://www.carverma.gov/home/news/election-results-november-18-2025
Carver,2023,hosted,https://959watd.com/blog/2023/04/carver-town-election-results/
Carver,2025,hosted,https://www.carverma.gov/town-clerk/files/april-26-2025-annual-town-election-candidates
Charlemont,2022,oversized_deferred,https://charlemont-ma.us/files/Town_Report_for_year_ending_December_312022.pdf
Charlemont,2024,oversized_deferred,https://charlemont-ma.us/files/Town_Report__Year_end_2024_finished.pdf
Charlemont,2025,hosted,https://charlemont-ma.us/n/20209/June-3-Election-Results
Cheshire,2021,discarded_not_results,https://cheshire-ma.gov/water-department/
Cheshire,2023,hosted,https://www.iberkshires.com/story/71653/Cheshire-Election-2023-.html
Chesterfield,2021,discarded_not_results,https://www.townofchesterfieldma.com/sites/g/files/vyhlif7606/f/uploads/chesterfield_fy2021_town_report_final_4.13.22.pdf
Chesterfield,2025,discarded_not_results,https://www.townofchesterfieldma.com/town-clerk/files/open-meeting-law-updated-june-2025
Chilmark,2022,discarded_not_results,https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/chilmark_town_report_2024.pdf
Chilmark,2025,discarded_not_results,https://www.chilmarkma.gov/town-clerk/pages/2025-town-elections
Clarksburg,2022,hosted,https://clarksburgma.gov/2022-annual-town-election-results?ref_url_id=14016
Clarksburg,2023,hosted,https://clarksburgma.gov/2023-election-results?ref_url_id=14016
Clarksburg,2025,hosted,https://clarksburgma.gov/2025-town-election-results?ref_url_id=14016
Colrain,2021,discarded_not_results,https://colrain-ma.gov/n/21501/Special-Town-Election-Results-09072021
Conway,2021,discarded_not_results,https://conwayma.gov/files/FY21_Annual_Report.pdf
Conway,2022,discarded_not_results,https://www.conwayma.gov/d/4774/Post-Election-Tally-Session
Conway,2023,discarded_not_results,https://conwayma.gov/files/Annual_Report_Conway_FY23_corrections.pdf
Conway,2024,missing,
Conway,2025,discarded_not_results,https://conwayma.gov/n/2182/2025-Local-Election-Results
Cummington,2022,discarded_not_results,https://cummington-ma.gov/PDFs/TownReportFY2023.pdf
Cummington,2023,discarded_not_results,https://cummington-ma.gov/TownMeet.php?ATM
Cummington,2024,discarded_not_results,https://cummington-ma.gov/PDFs/TownReportFY2024.pdf
Cummington,2025,discarded_not_results,https://cummington-ma.gov/TownMeet.php?TM
Dalton,2025,discarded_not_results,https://dalton-ma.gov/annual-town-election-monday-may-12-2025/
Deerfield,2025,discarded_not_results,https://www.deerfieldma.us/DocumentCenter/View/2758
Douglas,2025,missing,
Dracut,2021,missing,
Dracut,2023,discarded_not_results,https://www.dracutma.gov/DocumentCenter/View/2014/Town-Election-May-6-2023-Official-Results-PDF
Dudley,2021,discarded_not_results,https://www.dudleyma.gov/sitemap
Dunstable,2023,hosted,https://www.dunstable-ma.gov/home/news/official-election-results-tuesday-may-16-2023
East Bridgewater,2021,missing,
East Bridgewater,2023,discarded_not_results,https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/news/skm_450i23051409010.pdf
East Bridgewater,2025,discarded_not_results,
East Brookfield,2021,missing,
East Brookfield,2022,discarded_not_results,https://www.eastbrookfieldma.us/node/2027/news
East Brookfield,2023,discarded_not_results,https://www.eastbrookfieldma.us/town-clerk/news/annual-election-results
East Brookfield,2024,discarded_not_results,https://www.eastbrookfieldma.us/town-clerk/news/official-results-annual-town-election-2024
Edgartown,2022,discarded_not_results,https://www.edgartown-ma.us/departments/selectmen
Edgartown,2023,discarded_not_results,https://www.edgartown-ma.us/home/showpublisheddocument/20230/638170630272000000
Egremont,2021,discarded_not_results,https://www.egremont-ma.gov/DocumentCenter/View/1961
Erving,2022,discarded_not_results,https://www.erving-ma.gov/sites/g/files/vyhlif4401/f/uploads/2022_annual_town_report-_final.pdf
Erving,2023,hosted,https://www.recorder.com/Write-in-candidate-claims-Selectboard-seat-in-Erving-election-50834025
Erving,2025,discarded_not_results,https://www.erving-ma.gov/home/news/2024-annual-town-election-results
Florida,2021,missing,
Florida,2022,missing,
Florida,2023,missing,
Florida,2024,discarded_not_results,https://www.townofflorida.org/
Florida,2025,discarded_not_results,https://www.townofflorida.org/
Foxborough,2023,discarded_not_results,https://www.foxboroughma.gov/departments/town_clerk/election_information/election_results
Georgetown,2021,hosted,http://georgetownma.gov/Document%20Center/Departments/Town%20Clerk/Election%20Results/officialresultsate051021_1.xlsx?t=202308070838400
Georgetown,2022,hosted,http://georgetownma.gov/Document%20Center/Departments/Town%20Clerk/Election%20Results/unofficial_results_0592022.xlsx?t=202308070839370
Gill,2021,discarded_not_results,https://gillmass.org/p/36/Town-Clerk
Gill,2023,hosted,https://www.recorder.com/GillElectionResults051723-50994168
Gill,2025,discarded_not_results,https://www.gillmass.org/d/43449/Annual-Town-Election
Gosnold,2021,missing,
Gosnold,2022,missing,
Gosnold,2023,missing,
Gosnold,2024,missing,
Gosnold,2025,missing,
Granby,2021,discarded_not_results,https://granby-ma.gov/town-clerk/files/annual-town-election-results-2021
Granby,2022,discarded_not_results,https://granby-ma.gov/town-clerk/files/annual-town-election-results-2022
Granby,2023,discarded_not_results,https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/minutes/townelection5.15.23.pdf
Granby,2024,discarded_not_results,https://granby-ma.gov/town-clerk/files/town-election-results-may-2024
Granby,2025,discarded_not_results,https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/news/rec.townelection.5.19.25.pdf
